12:00:00.0	TIME 12:00:01
12:01:02.0	ON
12:01:04.0	OFF
12:01:06.0	ON
12:01:08.0	ON
12:01:12.0	CONN PAD 1
12:01:13.0	CONN PAD 2
12:01:14.0	CONN PAD 3
12:01:15.0	CONN PAD 4
12:01:15.2	CONN PAD 5
12:01:15.3	CONN PAD 6
12:01:15.4	CONN PAD 7
12:01:15.5	CONN PAD 8
12:01:16.0	EVENT PARGRP
12:01:16.1	NUM 314
12:01:16.2	NUM 217
12:01:16.3	NUM 211
12:01:16.4	NUM 111
12:01:16.5	NUM 500
12:01:16.6	NUM 17
12:01:16.7	NUM 310
12:01:16.8	NUM 111
12:02:00.0	TOGGLE 1
12:02:04.0	TOGGLE 2
12:02:04.2	TOGGLE 3
12:02:04.3	TOGGLE 4
12:02:04.4	TOGGLE 5
12:02:04.5	TOGGLE 6
12:02:04.6	TOGGLE 7
12:02:04.7	TOGGLE 8
12:02:50.0	TRIG 1
12:02:52.0	TRIG 3
12:03:35.0	TRIG 2
12:03:55.0	TRIG 4
12:04:25.0	TRIG 5
12:04:27.0	TRIG 8
12:04:28.0	TRIG 7
12:04:30.0	TRIG 6
12:04:32.0	TRIG 2
12:04:35.0	TRIG 1
12:05:50.0	PRINT
12:06:00.0	ENDRUN
12:06:10.0	NEWRUN
13:05:29.0	EXPORT 1
13:05:52.0	OFF
13:05:55.0	EXIT
